username,continent,tier,language,id,verified,signature,bioLink,commerceUser,commerceCategory,commerceButton,region,following,followers,total_likes,total_videos,videos_liked
riann0l,Africa,nano,English,71731225316519936,False,"✨️22✨️
✨️Absolutely overdramatic @ all times✨️
👏🏻potch👏🏻",,False,none,False,ZA,1890,4015,23900,72,0
mayavanzyl_,Africa,nano,English,6617281849641926661,False,Might as well be here for a good time and a long time,,False,none,False,TR,350,4705,69000,93,0
oumaimahaitam,Africa,nano,French,6639416481305133062,False,"- 23 years 🇲🇦
- Diploma in nursing🤱
- Diploma in flight attendant 👩🏻‍✈️",,True,Personal Blog,False,TR,893,9821,39300,321,0
liibax143,Africa,nano,English,6682019958651798534,False,,,False,none,False,ZA,951,2189,4483,35,0
nigeria533,Africa,nano,English,6896875405220938757,False,,,False,none,False,GH,1764,1356,2121,25,0
capitanabde,Africa,nano,French,6599411304397815813,False,"Instagram ➡capitan_abdo👉 50k
جتي جتي اوا ضرب شي ضويرا في 
انستاغرام ديالي مرحبا",,False,none,False,MA,359,9025,38000,31,0
michellesteffensl,Africa,nano,English,67093928545558529,False,Follow @whiskybrothers_ on insta for all your whisky needs!,,False,none,False,ZA,310,8455,37300,148,0
4drienrk,Africa,nano,French,6636106116768677893,False,🎵 NeverSeen Music,,False,none,False,FR,67,5811,232000,36,0
sonoode400,Africa,nano,French,6660561772216844293,False,❤️,,False,none,False,IT,464,3288,3704,15,0
queen22panda,Africa,nano,French,6631976970458808326,False,"👑🇲🇦 بنت المملكةالمغربية 🇲🇦👑
🐼🐼",,False,none,False,MA,1887,8711,13700,20,0
oumnia.b,Africa,nano,French,19343707,False,"♊️👱🏼‍♀️
Ig: oumnia-ben",,False,none,False,MA,61,4684,54500,30,0
reggiv2301,Africa,nano,English,181263343955955713,False,"IG reginaldvisagie_
YouTube- https://youtube.com/@rv_dah_one498",,False,none,False,ZA,231,5820,147600,83,0
gabiindigo,Africa,nano,English,6704281471698568198,False,why do they always cancel the good shows :(,,False,none,False,ZA,85,2067,634400,96,0
ivorswartz,Africa,nano,English,6730222171748254726,False,10 days of prayer: https://us02web.zoom.us/j/89667588991?pwd=MzhQa2lGSnlN,,False,none,False,ZA,27,4578,23100,67,0
lemniy,Africa,nano,French,6595156631909629957,False,"🏁🏁
Ig: kenza_lahtimii",,False,none,False,MA,658,9339,69800,151,0
sallma.rs,Africa,nano,French,101040880882544640,False,"Insta:  @salmaradja
  🧸🤎🧚‍♂️",,False,none,False,MA,132,7096,111600,465,0
nigeria.spells,Africa,nano,English,6789414629736694790,False,"God Loves You.
I love You.",,False,none,False,US,426,5087,33900,139,0
alloouullaa,Africa,nano,French,19401327,False,,,False,none,False,FR,665,6298,41500,153,0
iffyforyou,Africa,nano,English,6678300029565977606,False,iffy raja 👑,,False,none,False,ZA,1160,9740,215800,934,190800
iliass_94,Africa,nano,French,6542038442182726671,False,"50-أ ⵣ

10K 🔥",,True,Personal Blog,False,MA,50,9495,87200,10,0
shelby_dow1,Africa,nano,English,8382755,False,"Tattoo Artist
Studio - SheKnows Ink
Johannesburg South Africa 🖤✨",https://youtube.com/c/ShelbyDowney,False,none,False,ZA,1361,4052,34800,255,0
jordannickson,Africa,nano,English,6555785707935383557,False,"🔹 SouthAfrica🌎
🔹 28
🔹I only make videos i enjoy.
🔹Gaming channel @Judge328",twitch.tv/judge095,False,none,False,ZA,460,3414,6977,37,0
i_rall_316,Africa,nano,English,6767607468337710085,False,"Moto/kickboxing/cars🇿🇦
Mca Motos Honda racing 
IG➡️ian_rall_316",,False,none,False,ZA,57,4359,35300,84,0
mhassanelalaoui,Africa,nano,French,6650308210806996998,False,المقدم و الفنان مولاي حسن العلوي فنان ثراث العيساوي الأصيل و الدقة المراكشية,https://instagram.com/moulayhassan_officiell?igshid=YmMyMTA2M2Y=,True,Art & Crafts,False,MA,13,4979,11800,52,0
tarikamyn,Africa,nano,French,6701028555276420101,False,"🇲🇦🇲🇦🇲🇦

🧑🏽‍✈️ Cabin Crew - RYR ✈️
Dont hide the magic within u 💫",Snaptarikamy96,False,none,False,MA,273,1990,9349,16,0
samanthaprince6,Africa,nano,English,185923657016340480,False,"•My World🦋
•Since you here you might as well follow",,False,none,False,US,1899,7279,21400,88,0
mbalee1_fkn,Africa,nano,English,6795189653295039494,False,Taurus hun...Destined to reign.,,False,none,False,ZA,7559,7705,10000,72,3020
traphouse.talulah,Africa,nano,English,6762472123404436485,False,all hate will be entertained,,False,none,False,ZA,993,3066,276900,1198,0
jesshowesx,Africa,nano,English,6566557630999330821,False,💙,,False,none,False,GB,733,2106,12400,15,0
nigeria1990,Africa,nano,English,6903506686058972166,False,,,False,none,False,US,1755,1780,6084,226,0
quintagious,Africa,nano,English,6625136545790656518,False,"Sir Johannesburg 2020/2021😎
CEO/Entrepreneur/S-Pilot
IG:quinton_de_villiers",,True,Others,False,ZA,87,2577,21900,84,0
hayleywessie,Africa,nano,English,6671884364245303301,False,just vibez,https://www.instagram.com/p/CFEtmT-j2rn/?utm_source=ig_web_copy_link,False,none,False,ZA,461,9849,370300,98,0
tiago_cipriano_,Africa,nano,English,6674621481928426501,False,"🇿🇦/🇵🇹
For the memes",,False,none,False,PT,875,4935,38100,15,0
laudaclara229,Africa,nano,English,6990322445723943941,False,Une lumière dans les ténèbres 🌹,,True,Art & Crafts,False,BJ,165,1106,1247,81,0
nigerians_beautiful_face,Africa,nano,English,6949114907275592710,False,,,False,none,False,NG,100,1168,708,72,0
k7___666,Africa,nano,French,6714018232754209797,False,"૮₍ ˃ ⤙ ˂ ₎ა
./づᡕᠵ᠊ᡃ່࡚ࠢ࠘ ⸝່ࠡࠣ᠊߯᠆ࠣ࠘ᡁࠣ࠘᠊᠊ࠢ࠘~~~~♡
｡ﾟﾟ･｡･ﾟﾟ｡
ﾟ。You’re beautiful
　ﾟ･｡",,False,none,False,MA,6902,2218,24900,26,0
hrts4thabi,Africa,nano,English,6609019383094738949,False,Infp,,False,none,False,ZA,604,2793,44200,20,0
megsxhouston,Africa,nano,English,251825117067132928,False,I’m obsessed with ice cream.,,False,none,False,ZA,63,7961,25400,7,0
shewolfsa,Africa,nano,English,6745472260641014789,False,"hi darlings 🤍
just a little bit of everything",,False,none,False,ZA,736,6113,239900,204,0
baderedderyasi1,Africa,nano,French,6613823567585247238,False,𝚂𝚊𝚢 𝙶𝚘𝚘𝚍 𝙾𝚛 𝚂𝚑𝚞𝚝 𝚄𝚙 ❤️🙏,,False,none,False,MA,1023,8311,52600,142,0
ismail_rh_,Africa,nano,French,6718800654733329413,False,🇲🇦,,True,Others,False,MA,239,4250,17000,11,0
jogirl_04,Africa,nano,English,6671241068308152325,False,"Jjo ( Jolene Joseph)   Praise & Worship Leader. 
Gospel EDM artist. Entrepreneur",,False,none,False,ZA,404,9183,111700,149,11000
user3013387014814,Africa,nano,French,6693090810903069702,False,,,False,none,False,MA,3620,4632,37200,374,7031
kataajow11,Africa,nano,English,6627155575145136133,False,,,True,Personal Blog,False,ZA,465,4856,33000,173,113400
hamza.saley,Africa,nano,English,6728106831145403397,False,Sc:hamza_saley14,,False,none,False,ZA,272,4564,92900,25,0
_moer_koffie1,Africa,nano,English,157660446571761664,False,"Insta-      _moer_koffie
Jy sal jou gat af lag😍🔥
JYS KLAAR HIER🤷‍♂️ follow? ?",,True,Gaming,False,ZA,1484,4731,52400,46,0
gigi.angela,Africa,nano,English,243730636002508800,False,another day another slay,,False,none,False,ZA,1070,3149,216200,434,0
mikx.15,Africa,nano,English,6679295203906012165,False,,,False,none,False,ZA,99,1909,31600,47,0
amanda_kay14,Africa,nano,English,6822723406115668998,False,,,False,none,False,ZA,2264,3507,13900,12,0
cheyenne.burton,Africa,nano,English,6742384165839258630,False,"I don’t even know, I just post what IIke🤷🏻‍♀️
Follow my Insta 👆🏻🥰",,False,none,False,ZA,219,8765,212400,126,155000
don_zino48,Africa,nano,French,6631998862922924037,False,(فَإِنَّ مَعَ ٱلْعُسْرِ يُسْرًا)🇲🇦❤️🇩🇿,,True,Personal Blog,False,MA,2522,6867,21500,23,7836
marocquran,Africa,nano,French,108398052712878080,False,"ادعموا حسابات القران الكريم
خلونا نوصل
100k",,False,none,False,MA,2,8589,66900,145,0
kawtar_khadim_errahmane,Africa,nano,French,6654828226319810566,False,🐆❤️,,False,none,False,AE,117,5913,20900,39,0
wasimghoor,Africa,nano,English,6762856467336020997,False,Double major in nuclear astrophysics and culinary science,,False,none,False,ZA,747,4749,166100,12,0
moukhtar_ar,Africa,nano,French,6674134298603504645,False,"Varied Content 😍 🇲🇦 
+21k in instagram",,True,Electronics,False,MA,164,4128,15200,79,0
ariya_b,Africa,nano,English,172574873712529408,False,"✨18✨
🇿🇦 South Africa 🇿🇦 
☝️ follow my IG account @_ariya_b ☝️",,False,none,False,ZA,1399,9897,462500,521,0
miekepretorius21,Africa,nano,English,6750746247064323078,False,"South Africa 🇿🇦
Beauty, Lifestyle & food🥂

⛄☔🐹",,False,none,False,ZA,825,4395,33400,463,0
studytokdayya,Africa,nano,French,6797090322830820358,False,"Made in 🇺🇦 / Based in 🇲🇦
🩺",https://youtu.be/3RBidYzoHGw,False,none,False,MA,417,9236,140900,304,0
darina.moodley,Africa,nano,English,159808973330825216,False,"dont care what people think :)
RSA📍",,False,none,False,ZA,562,5281,192000,1018,0
hennietruter011,Africa,nano,English,6729197603709518853,False,"Love fast cars its my pasion
To race *To brake * to fix * to repeat",,False,none,False,ZA,1150,5628,30800,181,0
nabilrajawi14,Africa,nano,French,6637939058779652102,False,,,False,none,False,MA,4891,4246,15800,22,0
chaimaa0311,Africa,nano,French,6526944940704928783,False,"Can we skip to the good part ✨❤️
🇲🇦🇩🇿🇮🇹
20 y",,False,none,False,MA,493,7304,35600,160,0
unelourens13,Africa,nano,English,6653459441143742470,False,If you can't convince them than confuse them 😜,,False,none,False,ZA,10000,8034,61200,477,0
samartsai,Africa,nano,English,6630043898121093125,False,"Samantha Govender
 A game changer in Education
Actress; Writer ;V.O artist",,True,Art & Crafts,False,ZA,96,7237,53700,269,0
mimid25,Africa,nano,French,6747837726588814342,False,,Www.YouTube.com,False,none,False,MA,704,1851,8433,72,0
anaelle.az,Africa,nano,French,59149974046801920,False,,,False,none,False,ES,88,4353,111400,7,0
.cutezey,Africa,nano,English,6646605833277407238,False,"Took a break, deleted everything, re adding videos - new content coming soon 🤩",,False,none,False,ZA,5132,4817,22500,22,0
amiradrayaf,Africa,nano,French,194311793215938560,False,Instagram: amiradrayaf❤️‍🔥,,False,none,False,MA,119,4371,35800,46,0
mfeethu_sa,Africa,nano,English,6690586375950205958,False,"Durban🌊
Port Shepstone",,False,none,False,ZA,1604,1983,10200,122,0
dettydayalan,Africa,nano,English,123451163475107840,False,"#DettyDayalan
Taurus ♉️
✝️",,False,none,False,ZA,1238,7473,127500,478,0
meryemsmahan,Africa,nano,French,6789665826700100614,False,❤️❤️❤️❤️❤️❤️❤️❤️,,False,none,False,MA,1605,4598,1759,27,0
chyoum123,Africa,nano,French,6635294010784514054,False,,,False,none,False,MA,719,4426,2394,4,0
justin_jeezy,Africa,nano,English,1114977,False,"Just here for laughs and giggles 😁😁
Instagram: Jeezy_gahddamnsa 😅🙏🏾🎊",,False,none,False,ZA,1267,1987,31500,47,0
the_greek_,Africa,nano,English,6711772452978869253,False,"South African/Greek 🇿🇦🇬🇷
This is just for the banter",https://linktr.ee/iikonicc,False,none,False,ZA,533,5864,783100,212,0
eveysqueevvy,Africa,nano,English,23496695,False,tiktok is my professional career,,False,none,False,ZA,2072,3595,162700,289,0
fatisoultani2002,Africa,nano,French,6705757997723485190,False,"nstagram :fatisoultani🫀🖤
👩‍⚕️:infirmière❤🩺",,False,none,False,MA,1946,7179,28600,12,0
keet.teslyn,Africa,nano,English,6679817377456948230,False,"IG: teslynkeet_ 
Doing it for Fun!!💗🦋",,False,none,False,ZA,634,2806,18400,67,0
cosmicpolitician,Africa,nano,English,6750534350557627398,False,"Aspiring Photographer and Cinematographer 
🇿🇦
19",twitch.tv/cosmicpolitician,False,none,False,ZA,520,4034,55100,25,0
zaynahras,Africa,nano,English,6760614251742200837,False,,,False,none,False,ZA,450,9255,99900,220,0
michael_cost,Africa,nano,English,17208385,False,"🇿🇦 Content Creator
Lifestyle, Fashion & Design
🍌 I call my followers 'Bananas",www.michaelcost.com,False,none,False,ZA,92,2831,30600,75,0
abreedt,Africa,nano,English,6738792459050517509,False,"Sup.
🎮",,False,none,False,ZA,2166,5279,9978,89,0
hajarbouhaddioui,Africa,nano,French,6619950982137561093,False,Share love ❤️,,False,none,False,MA,2288,4692,17600,95,0
lucakolatsis,Africa,nano,English,6698754871984161797,False,"Cape Town 📍
19🤠
I ❤️ girls",,False,none,False,ZA,174,3271,184100,200,0
fatima_ezzahra3,Africa,nano,French,6665350524117893125,False,,,False,none,False,MA,7407,8278,22200,110,0
janakikiduplessis,Africa,nano,English,6731670949399102469,False,"19
🍒",,False,none,False,ZA,120,6061,91600,45,0
hbgmr,Africa,nano,French,6570234335260688390,False,💗Just for fun💗,,False,none,False,MA,528,8636,118000,143,0
lonalolita3,Africa,nano,French,6776681402118652933,False,البيع بالجملة والتقسيط,,False,none,False,MA,51,4959,30100,520,0
hanouna_6070,Africa,nano,French,6770270507390862341,False,,,False,none,False,MA,5748,8645,131400,111,0
ditchdoctor1299,Africa,nano,English,6668248433968906246,False,"PTA🇿🇦 
Ops manager @ SVTA-LifeMed EMS 🚨🇿🇦
Company account @SVTA/LifeMed911",,False,none,False,ZA,794,6822,36200,97,0
kr_ilyass,Africa,nano,French,6701749327821784069,False,"🐆🐆جيش الأسود🐆🐆
Insta: Kr_ilyass_",,False,none,False,MA,464,9801,35200,28,0
kelseyleedavids,Africa,nano,English,6899433817495585798,False,"just here for fun❤
a follow for a follow😉",,False,none,False,ZA,2730,3491,21200,176,0
kenza.mlh,Africa,nano,French,295357286557065216,False,🇲🇦🇲🇦,,False,none,False,MA,3445,3961,34500,5,0
carlameaker,Africa,nano,English,13995946,False,Do not take anything I do/say seriously,,False,none,False,GB,1477,9815,377000,225,0
fadouaqsy,Africa,nano,French,6648667160683331590,False,🇲🇦Top 🇨🇦Marok1🤍Maher🤍Ahlam🤍الزعيم🤍donsalah🤍HAMOUDA🤍Comicyou🤍 Mouna,,False,none,False,CA,651,9199,31200,7,0
deonethiart,Africa,nano,English,64849155210117120,False,"Hi, I do makeup and disappoint my parents for a living.
Instagram: deone.thiart",,False,none,False,ZA,220,1323,17200,51,0
fati.ghazal,Africa,nano,French,6777270911760172037,False,صنع جميع انواع الحلويات والاكلات مغربية,https://youtu.be/vaNjmXOCoOI,False,none,False,MA,5162,7016,19200,113,0
ines...abk,Africa,nano,French,20935437,False,"Just 4 fun 
  ♉️

📍LDN",,False,none,False,MA,706,4358,125900,900,0
abdifatah1992,Africa,nano,English,6679499486639014917,False,"Ogow islaweynida waa necbahay 🤷‍♀️🇸🇴🇿🇦
Snapchat: yarkaw",https://www.snapchat.com/add/yarkaw?share_id=NDlBQjM5QTctOEE2Qy00OUM1LUJEOTItN0FEMjU1NzY5NTc1&locale=en_ZA,False,none,False,ZA,6862,9042,51600,160,0
itsme_nadine22,Africa,nano,English,6656802602900275205,False,"25🌸👑
SA🇿🇦
Blonde hair, blue eyes 👀 
4th year BEd student📚📝👩🏼‍🏫",,False,none,False,ZA,772,4838,21800,458,0
chelsxxyy,Africa,nano,English,107530745555914752,False,,,False,none,False,ZA,207,4133,2334,19,0
x.x.dinizee.x.x,Africa,nano,English,6801506358892004357,False,"Snap- dinizedelange
insta- x.o.dennis.o.x",,False,none,False,ZA,5160,9248,60300,12,0
abuu.maahir,Africa,nano,English,6683926073930171397,False,,,False,none,False,SO,5161,4335,31700,166,15000
misafra2,Africa,nano,French,6670055416464097286,False,,,False,none,False,MA,9660,9824,59700,299,89200
syrese_06,Africa,nano,English,6659812863543640069,False,,,False,none,False,ZA,83,9695,202900,313,0
meed_64,Africa,nano,French,6750761718752642053,False,🇱🇺 𝒮𝒶𝒽𝓇𝒶𝓌𝒾 𝒲𝒶𝒻𝓉𝒶𝓀𝒽𝒶𝓇 𝒲𝒶𝓁𝒹 𝒲𝒶𝒹 𝓃𝑜𝓃 𝒢𝓊𝑒𝓁𝓂𝒾𝓂 ❤️,,False,none,False,MA,1964,8033,40500,140,0
woltizri,Africa,nano,French,15849351,False,"hi 
23 y 
youtuber 
also a practical nurse",,False,none,False,MA,652,5209,21600,23,0
haneemomg,Africa,nano,English,6715726294615180294,False,"20🇿🇦
this is all for my own entertainment 😁🙏🏼
BLM
🇵🇸❤️",,False,none,False,ZA,250,5893,391400,486,0
haaiwena,Africa,nano,English,6905956949993931781,False,,,False,none,False,ZA,1966,1805,5651,39,0
yousra.mounafi,Africa,nano,French,11075989,False,"""live with passion, live musical.ly""",,False,none,False,MA,693,3670,41400,30,0
dalilavlog1,Africa,nano,French,6733926396589376518,False,,https://youtu.be/4yUm5Q1q444,False,none,False,MA,1055,5314,12800,14,0
yuvansingh06,Africa,nano,English,6644796547546693638,False,"South Africa 🇿🇦
21🤙",,False,none,False,ZA,129,9458,261800,780,0
mocardi_ngcobo,Africa,nano,English,6788431351931732997,False,🇵🇹,,True,Beauty,False,ZA,1522,8656,87500,725,0
zakariamlaiga,Africa,nano,French,6654641988664688646,False,"Šhï_Ņ_Wì
🈯️🈳️🈲️
Zakaria 
19 Years old 🎂
🐊🐊🐊",,False,none,False,MA,122,5527,33300,99,0
omarv21,Africa,nano,French,151521899032924160,False,Le MarRakechii 🌴❤,,False,none,False,MA,197,6588,53800,38,64300
marcoelho_,Africa,nano,English,6676729601136346118,False,,,False,none,False,ZA,730,8971,545500,40,0
nomsamahlangu06,Africa,nano,English,6825924086214427653,False,ngilindebele for life,,False,none,False,ZA,4031,3896,16100,115,0
kelsgonewild,Africa,nano,English,71419929761050624,False,"using this account to hide the fact that i have mental issues
CA",,False,none,False,US,673,5973,362100,27,0
keishastuart,Africa,nano,English,6806380578305704966,False,"Her/She
Follow on ig for a kiss💋",https://sourfig.com/,False,none,False,ZA,186,6956,96700,28,0
nuhaadaniels_,Africa,nano,English,183752788491964416,False,"hey, nuwie here",,False,none,False,ZA,430,1530,13100,13,0
chama.benamar,Africa,nano,French,6663159974430195718,False,🦋,,False,none,False,MA,514,7175,129600,1,0
jess.vdmerwe,Africa,nano,English,6748027145341584390,False,"south africa 
19",,False,none,False,ZA,2594,8316,148500,39,0
jessicawittenn,Africa,nano,English,6671139887347482629,False,19,,False,none,False,ZA,339,3267,58500,18,0
itzz.miagunner,Africa,nano,English,6577687550767841286,False,"Instagram: mia_______gunner
📧:miagunner21@gmail.com 
    🇿🇦",,False,none,False,ZA,97,6147,58200,32,0
i.am.the.bitch1999,Africa,nano,English,6696486839694459909,False,"South-Africa🇿🇦
Instagram: @xnikita_redx99",,False,none,False,ZA,268,6411,11800,70,8002
soukainaab78,Africa,nano,French,6621933954730573830,False,,,False,none,False,MA,810,5622,19700,1,0
jadeauret,Africa,nano,English,6607481894152355846,False,"Cape Town , South Africa
Makeup Artist
jade.aurett@gmail.com",,False,none,False,ZA,66,2426,34800,2,0
tiktok.addict.aims,Africa,nano,English,6713036878548911109,False,,,False,none,False,ZA,160,5306,106700,61,0
jili_mfaxhamla,Africa,nano,English,6797783237298242565,False,"IFB....I don't have any content, not targeting any no. of followers and likes.",,False,none,False,ZA,8965,9261,80300,529,0
mogammadmanuel5,Africa,nano,English,6744013148929590278,False,"Car Enthusiast😁🔥
🇩🇪Golf Mk1 20VT🇩🇪 
🇯🇵Nissan 200sx RB25DET 🇯🇵",,False,none,False,ZA,51,1938,10400,34,0
oussama657,Africa,nano,French,6585474819294265349,False,"Insta:oussama_tet
Travail : etoile _laboutique
Snp: ch_oussa",,False,none,False,MA,340,9703,39400,92,0
kaelakraus,Africa,nano,English,6553661281542307845,False,𝘟𝘖,,False,none,False,ZA,125,4174,1711,7,0
iam_riyapillay,Africa,nano,English,6549146608851255302,False,"🇿🇦🇿🇦🇿🇦
20❤️
Go follow my insta 🖤",,False,none,False,ZA,1807,7560,63200,487,0
theboy_siya,Africa,nano,English,6692865063710295046,False,"Here for a good time, not a long time. 😅",,False,none,False,ZA,368,4452,51200,42,0
t.xyl.xlesar,Africa,nano,English,6735077336926045189,False,", welcome to the shit show",,False,none,False,ZA,970,6747,266100,40,0
kkaylinlee,Africa,nano,English,6624929473056276485,False,m.s🕊️,,False,none,False,ZA,1527,5261,180300,51,0
sharmakelajeclow,Africa,nano,English,6718700086140601350,False,"Single✌️
Every long journey starts with one step forward
🫰Snap djsharuu 🇿🇦",,False,none,False,ZA,371,8526,50700,35,0
lil.j.m,Africa,nano,English,6711749852256240646,False,"cpt🇿🇦 | 20| leo♌
Mom2Be🤰 | Wife💍
You're Smile is Beautiful 😍💕",,False,none,False,ZA,3713,5989,37500,1025,0
araav247,Africa,nano,English,6553951877507186694,False,17,,False,none,False,ZA,159,5224,369200,47,0
chaimae__48,Africa,nano,French,6637570341718720518,False,,,False,none,False,MA,1277,3793,33600,22,0
miss_priy,Africa,nano,English,6558848595658063878,False,,,False,none,False,ZA,812,1494,11800,73,0
dan.neethling1,Africa,nano,English,6636384820891320326,False,Insta dan.neethling,,False,none,False,ZA,1357,3324,91100,346,0
zzzayyyyy,Africa,nano,English,6637888258451996677,False,🇿🇦,,False,none,False,ZA,304,3797,51000,142,0
stefan21_za,Africa,nano,English,6590313067393335301,False,💥18 + for some content💥South Africa. always up for a laugh.,,False,none,False,ZA,5137,6783,46600,269,0
yassineasalmiyassine3,Africa,nano,French,6776285358331134981,False,"❤️❤️❤️❤️❤️
❤️❤️❤️❤️
❤️❤️❤️
❤️❤️
  ❤️",,False,none,False,MA,5377,4057,23100,151,0
oumaimafraulein,Africa,nano,French,6567755362442231814,False,"💄Pro makeup artist 
Hair dresser 
Nail artist
ig:@umaimayzm / @mimasglam ❤️",,False,none,False,MA,362,8457,60300,428,0
shortyleee,Africa,nano,English,6740148906528015366,False,"🇿🇦🇿🇦
IG @shortyleee",,False,none,False,ZA,824,1391,366,3,0
bking2.4,Africa,nano,English,6585938853604573190,False,"Living proof that nobody is perfect.
Always on the Run.",SouthAfricaKzn,False,none,False,ZA,12,3909,44600,145,0
shivaan_naidoo,Africa,nano,English,6714351094574007302,False,"South Africa 🇿🇦
19",,False,none,False,ZA,1232,5625,374700,412,0
khaoulaelhajoui,Africa,nano,French,6644193309567434758,False,"Don't be sad, Allah is with us👌♥️",,False,none,False,GB,215,6735,11400,5,0
neyqii_xoxo,Africa,nano,English,6727683288700519430,False,Wait this isn’t my private story?,,False,none,False,ZA,1171,8322,278100,90,0
mounirsouhayb,Africa,nano,French,6642796778917724166,False,,,False,none,False,MA,9940,9839,81000,560,0
aldobellingan,Africa,nano,English,6749133897969681414,False,23 🇿🇦,,False,none,False,ZA,179,5096,147900,5,0
theyadore_.kele,Africa,nano,English,6630291509772353541,False,ig: theyadore_.kele,,False,none,False,ZA,758,2798,18900,10,0
sihammakass36,Africa,nano,French,6701614107080246277,False,,,False,none,False,MA,184,8827,39300,163,0
lb_sibisi,Africa,nano,English,6721783463923827717,False,❤️‍🔥,,False,none,False,ZA,1162,7208,62100,140,0
rebecaxalves,Africa,nano,English,313481693896626176,False,"DJ BEKA 💋
Cape Town, South Africa 🇿🇦 
enjoy!! 🕺🏼",http://paypal.me/rebecaalves,False,none,False,ZA,605,9410,248200,423,0
achraf_fit,Africa,nano,French,6612333508198498310,False,"أشرف فوقاهي 
من تواضع لله رفعه 
objt 10k inxallah
insta: achraf_fitness_",,False,none,False,MA,114,7504,32600,5,0
mrdubeee,Africa,nano,English,6911628181595227137,False,Follow me on ig for a happy meal ⬆️,,False,none,False,ZA,190,6460,447000,193,0
getoutgo,Africa,nano,English,6709339356874392582,False,"African overlanding YouTube channel

https://linktr.ee/getoutgo",,True,Travel & Tourism,False,ZA,66,5266,32800,79,0
ngcobophumeza8,Africa,nano,English,6746160456119649285,False,Dream Chaser👑,,False,none,False,ZA,2485,7443,12400,73,0
danielilamini13,Africa,nano,English,7002627285975467014,False,,,False,none,False,NG,29,5242,18800,14,0
chadmayerr,Africa,nano,English,6723282692534420486,False,Your favorite Jew,,False,none,False,ZA,961,2360,432,1,0
julmeyer,Africa,nano,English,6714927216532292614,False,"20 <3 Stellies 
i am actually the funniest person you’ll ever meet 
💘✨🌷🧚🏻🍒",https://linktr.ee/julmeyer,False,none,False,ZA,3812,8230,252600,289,0
frankiejakes,Africa,nano,English,111266324458110976,False,🪴,,False,none,False,ZA,1108,4503,86600,62,0
triiishhha,Africa,nano,English,6658573354524344325,False,"new account 🫦
IG: triiishhha",,False,none,False,ZA,64,3795,46800,17,0
