AuthorId,audio_arousal_bin_0,audio_arousal_bin_1,audio_arousal_bin_2,audio_arousal_bin_3,audio_arousal_bin_4,audio_arousal_bin_5,audio_arousal_bin_6,audio_arousal_bin_7,audio_arousal_bin_8,audio_arousal_bin_9,audio_arousal_bin_10,audio_arousal_bin_11,audio_dominance_bin_0,audio_dominance_bin_1,audio_dominance_bin_2,audio_dominance_bin_3,audio_dominance_bin_4,audio_dominance_bin_5,audio_dominance_bin_6,audio_dominance_bin_7,audio_dominance_bin_8,audio_dominance_bin_9,audio_dominance_bin_10,audio_dominance_bin_11,audio_valence_bin_0,audio_valence_bin_1,audio_valence_bin_2,audio_valence_bin_3,audio_valence_bin_4,audio_valence_bin_5,audio_valence_bin_6,audio_valence_bin_7,audio_valence_bin_8,audio_valence_bin_9,audio_valence_bin_10,audio_valence_bin_11,audio_arousal_min,audio_dominance_min,audio_valence_min,audio_arousal_max,audio_dominance_max,audio_valence_max,audio_arousal_mean,audio_dominance_mean,audio_valence_mean,audio_arousal_std,audio_dominance_std,audio_valence_std
@4P5MC,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.2,0.0,0.1,0.0,0.0,0.51,0.56,0.38,0.7,0.75,0.82,0.584,0.636,0.5269999999999999,0.0623965811029204,0.0529570056219613,0.1430656414998995
@4THIMPACTMUSIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.3333333333333333,0.2222222222222222,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.2222222222222222,0.5,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.52,0.44,0.33,0.87,0.81,0.77,0.7416666666666667,0.6605555555555556,0.5455555555555556,0.103993778094427,0.0995562047714593,0.1054526502175667
@4WD247,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.35,0.45,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.55,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.15,0.3,0.45,0.0,0.0,0.5,0.55,0.39,0.91,0.88,0.85,0.7815000000000001,0.7555,0.7355,0.1054950734694079,0.0822368210526288,0.1317283888197704
@4x4campingtrailers,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.57,0.5,0.54,0.61,0.63,0.64,0.59,0.5733333333333334,0.5766666666666667,0.02,0.0665832811847939,0.055075705472861
@51MusicEntertainment,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.52,0.5,0.3,0.92,0.82,0.7,0.7388888888888889,0.6733333333333333,0.5155555555555557,0.1635882364692251,0.1358307770720612,0.1340812357407918
@5MinuteCraftsTEENS,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.4,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.25,0.05,0.05,0.25,0.05,0.0,0.57,0.51,0.27,0.89,0.86,0.95,0.757,0.7055,0.5974999999999999,0.0783447173512171,0.0727269587313795,0.2022212181068831
@5MinuteDECOR,0.0,0.0,0.0,0.0,0.1,0.05,0.4,0.15,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.4,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.45,0.15,0.05,0.0,0.0,0.1,0.0,0.31,0.28,0.29,0.9,0.82,0.93,0.6375,0.5725,0.4955,0.1750150369479569,0.1625091090564334,0.1672525666548396
@5SOS,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.2,0.55,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.1,0.55,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.4,0.2,0.1,0.05,0.0,0.0,0.47,0.4,0.36,0.91,0.84,0.82,0.7745,0.7190000000000001,0.5795,0.121285873694733,0.1124792378502291,0.1227095415155128
@5inco-,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.52,0.57,0.59,0.68,0.7,0.69,0.5966666666666667,0.6333333333333333,0.6366666666666666,0.0802080627701064,0.0650640709864771,0.0503322295684716
@5startv.,0.0,0.0,0.0,0.0,0.0,0.05,0.4,0.3,0.1,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.45,0.25,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.55,0.2,0.05,0.05,0.0,0.0,0.46,0.49,0.44,0.98,0.85,0.84,0.6615,0.6395,0.593,0.1347229125200859,0.0920797709083071,0.1018822850156002
@7NEWSSpotlight,0.0,0.0,0.0,0.1428571428571428,0.0,0.4285714285714285,0.0,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.4285714285714285,0.1428571428571428,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3,0.39,0.27,0.7,0.75,0.55,0.5228571428571429,0.5914285714285714,0.4171428571428571,0.1492999537524248,0.1334701678813873,0.1007826515683272
@7news,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.3,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.45,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.25,0.15,0.2,0.05,0.05,0.0,0.0,0.54,0.61,0.27,0.83,0.82,0.82,0.657,0.7015,0.5105000000000001,0.0842365091494431,0.058153607843909,0.1432507922270735
@7toun1,0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.3076923076923077,0.3076923076923077,0.0769230769230769,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.4615384615384615,0.2307692307692307,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.3846153846153846,0.2307692307692307,0.0769230769230769,0.0,0.0,0.0,0.37,0.33,0.27,0.84,0.82,0.77,0.6192307692307693,0.5838461538461538,0.5307692307692308,0.136593163473478,0.1245350326573786,0.1304774270682825
@888LAB,0.0,0.0,0.0,0.0769230769230769,0.0,0.0769230769230769,0.3076923076923077,0.1538461538461538,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.0,0.0769230769230769,0.3846153846153846,0.1538461538461538,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.2307692307692307,0.2307692307692307,0.0,0.1538461538461538,0.0769230769230769,0.0,0.0,0.21,0.27,0.17,1.0,0.92,0.84,0.663076923076923,0.6100000000000001,0.4923076923076923,0.2040581867746148,0.18,0.2032713230370451
@8BitCRPlays,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.65,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.4,0.5,0.05,0.0,0.0,0.52,0.56,0.56,0.94,0.85,0.82,0.8075000000000001,0.7455,0.7115,0.1020255385985087,0.0761905505952017,0.0608081538853743
@8bitStudiogames,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.35,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.6,0.2,0.0,0.0,0.0,0.0,0.6,0.53,0.38,0.81,0.73,0.67,0.7415,0.661,0.558,0.0770013670418635,0.0720306952113581,0.065179912953544
@99fmnamibia49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.56,0.63,0.71,0.56,0.63,0.71,0.56,0.63,0.71,,,
@A24com,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.15,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.45,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.3,0.3,0.05,0.05,0.0,0.0,0.45,0.37,0.38,1.03,0.92,0.81,0.6665,0.6145,0.5605,0.1450689491242009,0.1419590378280038,0.1165501924855598
@ABCEducation,0.0,0.0,0.0,0.0,0.05,0.4,0.25,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.6,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.3,0.25,0.05,0.0,0.0,0.36,0.45,0.44,0.77,0.75,0.84,0.5505,0.5885,0.613,0.1025195745108939,0.0679996130019947,0.1250305225892756
@ABN-Music,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.32,0.29,0.31,0.71,0.62,0.51,0.4566666666666667,0.4233333333333333,0.41,0.219620885467055,0.173877351409933,0.1
@ACurrentAffair9,0.0,0.0,0.0,0.0,0.05,0.15,0.3,0.25,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.2,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.3,0.2,0.1,0.1,0.05,0.0,0.0,0.32,0.36,0.25,0.9,0.79,0.8,0.608,0.608,0.494,0.1362891662682888,0.118481621937084,0.1503119563126178
@ADHDbuilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.71,0.66,0.55,0.82,0.75,0.71,0.775,0.715,0.63,0.0506622805119022,0.0404145188432737,0.0697614984548544
@AFROSAVVY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.31,0.44,0.53,0.31,0.44,0.53,0.31,0.44,0.53,,,
@AIPursuit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.31,0.38,0.28,0.31,0.38,0.28,0.31,0.38,,,
@AJVGlobal,0.0,0.0,0.0,0.0,0.0588235294117647,0.1176470588235294,0.1764705882352941,0.1764705882352941,0.2941176470588235,0.1176470588235294,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.2941176470588235,0.2352941176470588,0.2941176470588235,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.2941176470588235,0.2352941176470588,0.1764705882352941,0.1764705882352941,0.0588235294117647,0.0,0.0,0.36,0.46,0.26,0.92,0.82,0.82,0.6588235294117647,0.6335294117647059,0.5841176470588235,0.1537807836231975,0.1164549900428588,0.1524819179251023
@ALLinPav,0.0,0.0,0.0,0.0,0.0,0.05,0.45,0.25,0.05,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.35,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.4,0.2,0.2,0.05,0.0,0.0,0.0,0.44,0.49,0.26,0.92,0.87,0.76,0.636,0.652,0.5135,0.1303598259070881,0.1103868794644306,0.1210165277968261
@ALLoveMath,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.3636363636363636,0.3636363636363636,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.4545454545454545,0.1818181818181818,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0909090909090909,0.5454545454545454,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.6,0.56,0.23,0.9,0.85,0.84,0.73,0.6809090909090909,0.5609090909090909,0.0993981891183134,0.0943879807448538,0.156617658356556
@ANGELINERSFansclub,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.1,0.2,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.15,0.5,0.2,0.0,0.0,0.0,0.0,0.05,0.05,0.15,0.2,0.15,0.1,0.2,0.1,0.0,0.0,0.31,0.31,0.17,0.96,0.89,0.86,0.7929999999999999,0.7175,0.554,0.1610524595802315,0.1392791592828098,0.2009032236256001
@ANMATV,0.0,0.0,0.0,0.0,0.05,0.45,0.45,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.75,0.2,0.0,0.0,0.0,0.0,0.37,0.45,0.48,0.72,0.68,0.66,0.4955,0.521,0.5655,0.0757749437826459,0.0571148427570092,0.0458228855715707
@ANNATEKOmusic,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.3846153846153846,0.0,0.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.3846153846153846,0.0,0.3846153846153846,0.0769230769230769,0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.4615384615384615,0.2307692307692307,0.0769230769230769,0.0,0.0,0.0,0.0,0.43,0.34,0.16,0.89,0.84,0.64,0.6661538461538462,0.6153846153846154,0.4523076923076923,0.1733271695156523,0.159091974688406,0.1266987138946726
@APTACofficial,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.55,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.5,0.3,0.0,0.0,0.0,0.0,0.36,0.33,0.24,0.78,0.74,0.67,0.647,0.6245,0.5485,0.0946517161409187,0.104754098023092,0.1061912376204761
@ARCARTOONS,0.0,0.0,0.05,0.0,0.0,0.05,0.15,0.45,0.0,0.15,0.1,0.05,0.0,0.0,0.0,0.05,0.0,0.2,0.2,0.25,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.05,0.15,0.2,0.3,0.25,0.05,0.0,0.0,0.0,0.19,0.3,0.23,1.0,0.91,0.75,0.6759999999999999,0.6185,0.5135,0.189553491964114,0.1575561721051291,0.1400103379641736
@ARPOTheRobot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.3,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.35,0.35,0.05,0.0,0.0,0.64,0.54,0.44,0.89,0.82,0.84,0.7765,0.7045,0.6665,0.0679996130019947,0.0811415267814271,0.1090280021974075
@ASIYACHAIRLADY,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.0,0.0,0.51,0.5,0.61,0.92,0.82,0.89,0.7614285714285715,0.6942857142857143,0.6928571428571428,0.1352070722297927,0.1093704931044235,0.1068822226743509
@ASMR-MUKBANG,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.3,0.36,0.37,0.3,0.36,0.37,0.3,0.36,,,
@ASPlay4U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.61,0.64,0.6,0.61,0.64,0.6,0.61,0.64,0.6,,,
@ASportspk,0.0,0.0,0.0,0.0,0.05,0.0,0.15,0.3,0.25,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.45,0.25,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.35,0.15,0.15,0.25,0.05,0.0,0.35,0.39,0.42,0.92,0.83,0.92,0.6940000000000001,0.6845,0.6865,0.1279555843992257,0.1005498043652733,0.1407975403493294
@ATuSaludConLaDraOceaniaMatos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.74,0.7,0.55,0.82,0.75,0.63,0.7875,0.735,0.6,0.035939764421413,0.0238047614284761,0.0382970843102534
@AXEFF,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.4285714285714285,0.0,0.1428571428571428,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.4285714285714285,0.2857142857142857,0.1428571428571428,0.0,0.0,0.0,0.5,0.44,0.31,0.99,0.85,0.74,0.7385714285714285,0.6571428571428571,0.5557142857142857,0.1817900411123201,0.1511857892036908,0.1318910083941968
@AZACOOLPROD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.89,0.82,0.71,0.89,0.82,0.71,0.89,0.82,0.71,,,
@Aainanewsofficial,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.3333333333333333,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.21,0.22,0.32,0.91,0.82,0.71,0.6133333333333334,0.5983333333333333,0.5133333333333333,0.2489712165425285,0.2170176644116019,0.1434805445580224
@AaronsAnimals,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.4,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.4,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.3,0.3,0.1,0.0,0.0,0.0,0.46,0.43,0.38,0.84,0.78,0.79,0.6599999999999999,0.608,0.5589999999999999,0.1088697918568202,0.0996097648986177,0.1128529550950448
@AbbieLu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.77,0.72,0.74,0.79,0.73,0.78,0.78,0.725,0.76,0.0141421356237309,0.0070710678118654,0.0282842712474619
@AbbtakkNews,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.48,0.46,0.41,0.72,0.69,0.7,0.638,0.614,0.51,0.0920326029187483,0.0963327566303383,0.121037184369102
